Date,Rate,"ISO Code From","ISO Code To"
"2/7/2022 Monday",2.94500,USD,GEL
"2/8/2022 Tuesday",2.94500,USD,GEL
"2/9/2022 Wednesday",2.92500,USD,GEL
"2/10/2022 Thursday",2.94000,USD,GEL
"2/11/2022 Friday",2.93000,USD,GEL
"2/14/2022 Monday",3.00000,USD,GEL
"2/15/2022 Tuesday",2.93000,USD,GEL
"2/16/2022 Wednesday",2.99000,USD,GEL
"2/17/2022 Thursday",2.99000,USD,GEL
"2/18/2022 Friday",2.98000,USD,GEL
"2/21/2022 Monday",2.98000,USD,GEL
"2/22/2022 Tuesday",2.97500,USD,GEL
"2/23/2022 Wednesday",2.97500,USD,GEL
"2/24/2022 Thursday",2.96000,USD,GEL
"2/25/2022 Friday",3.17000,USD,GEL
"2/28/2022 Monday",3.10000,USD,GEL
"3/1/2022 Tuesday",3.17000,USD,GEL
"3/2/2022 Wednesday",3.21000,USD,GEL
"3/3/2022 Thursday",3.20500,USD,GEL
"3/4/2022 Friday",3.17500,USD,GEL
"3/7/2022 Monday",3.39000,USD,GEL
"3/8/2022 Tuesday",3.44500,USD,GEL
"3/9/2022 Wednesday",3.38000,USD,GEL
"3/10/2022 Thursday",3.36000,USD,GEL
"3/11/2022 Friday",3.21833,USD,GEL
"3/14/2022 Monday",3.22000,USD,GEL
"3/15/2022 Tuesday",3.19500,USD,GEL
"3/16/2022 Wednesday",3.19500,USD,GEL
"3/17/2022 Thursday",3.21500,USD,GEL
"3/18/2022 Friday",3.20500,USD,GEL
"3/21/2022 Monday",3.22500,USD,GEL
"3/22/2022 Tuesday",3.22000,USD,GEL
"3/23/2022 Wednesday",3.24000,USD,GEL
"3/24/2022 Thursday",3.22500,USD,GEL
"3/25/2022 Friday",3.21000,USD,GEL
"3/28/2022 Monday",3.18500,USD,GEL
"3/29/2022 Tuesday",3.14000,USD,GEL
"3/30/2022 Wednesday",3.10500,USD,GEL
"3/31/2022 Thursday",3.10500,USD,GEL
"4/1/2022 Friday",3.09500,USD,GEL
"4/4/2022 Monday",3.08000,USD,GEL
"4/5/2022 Tuesday",3.10000,USD,GEL
"4/6/2022 Wednesday",3.08000,USD,GEL
"4/7/2022 Thursday",3.08000,USD,GEL
"4/8/2022 Friday",3.06000,USD,GEL
"4/11/2022 Monday",3.07000,USD,GEL
"4/12/2022 Tuesday",3.06000,USD,GEL
"4/13/2022 Wednesday",3.07500,USD,GEL
"4/14/2022 Thursday",3.06500,USD,GEL
"4/15/2022 Friday",3.06250,USD,GEL
"4/18/2022 Monday",3.05500,USD,GEL
"4/19/2022 Tuesday",3.03500,USD,GEL
"4/20/2022 Wednesday",3.03500,USD,GEL
"4/21/2022 Thursday",3.04000,USD,GEL
"4/22/2022 Friday",3.03500,USD,GEL
"4/25/2022 Monday",3.03000,USD,GEL
"4/26/2022 Tuesday",3.03500,USD,GEL
"4/27/2022 Wednesday",3.04500,USD,GEL
"4/28/2022 Thursday",3.05000,USD,GEL
"4/29/2022 Friday",3.04500,USD,GEL
"5/2/2022 Monday",3.04000,USD,GEL
"5/3/2022 Tuesday",3.03500,USD,GEL
"5/4/2022 Wednesday",3.04000,USD,GEL
"5/5/2022 Thursday",3.03000,USD,GEL
"5/6/2022 Friday",3.03500,USD,GEL
"5/9/2022 Monday",3.03000,USD,GEL
"5/10/2022 Tuesday",3.02500,USD,GEL
"5/11/2022 Wednesday",3.02333,USD,GEL
"5/12/2022 Thursday",3.03500,USD,GEL
"5/13/2022 Friday",3.03500,USD,GEL
"5/16/2022 Monday",2.99000,USD,GEL
"5/17/2022 Tuesday",2.96500,USD,GEL
"5/18/2022 Wednesday",2.95000,USD,GEL
"5/19/2022 Thursday",2.90500,USD,GEL
"5/20/2022 Friday",2.90500,USD,GEL
"5/23/2022 Monday",2.88500,USD,GEL
"5/24/2022 Tuesday",2.86000,USD,GEL
"5/25/2022 Wednesday",2.84500,USD,GEL
"5/26/2022 Thursday",2.84000,USD,GEL
"5/27/2022 Friday",2.89000,USD,GEL
"5/30/2022 Monday",2.89000,USD,GEL
"5/31/2022 Tuesday",3.02000,USD,GEL
"6/1/2022 Wednesday",3.00500,USD,GEL
"6/2/2022 Thursday",2.98000,USD,GEL
"6/3/2022 Friday",2.96500,USD,GEL
"6/6/2022 Monday",2.94500,USD,GEL
"6/7/2022 Tuesday",2.95000,USD,GEL
"6/8/2022 Wednesday",2.95000,USD,GEL
"6/9/2022 Thursday",2.94000,USD,GEL
"6/10/2022 Friday",2.91500,USD,GEL
"6/13/2022 Monday",2.94000,USD,GEL
"6/14/2022 Tuesday",2.94000,USD,GEL
"6/15/2022 Wednesday",2.94000,USD,GEL
"6/16/2022 Thursday",2.94000,USD,GEL
"6/17/2022 Friday",2.94000,USD,GEL
"6/20/2022 Monday",2.92500,USD,GEL
"6/21/2022 Tuesday",2.89000,USD,GEL
"6/22/2022 Wednesday",2.90000,USD,GEL
"6/23/2022 Thursday",2.93500,USD,GEL
"6/24/2022 Friday",2.94000,USD,GEL
"6/27/2022 Monday",2.94000,USD,GEL
"6/28/2022 Tuesday",2.94000,USD,GEL
"6/29/2022 Wednesday",2.94000,USD,GEL
"6/30/2022 Thursday",2.93988,USD,GEL
"7/1/2022 Friday",2.94031,USD,GEL
"7/4/2022 Monday",2.93978,USD,GEL
"7/5/2022 Tuesday",2.94034,USD,GEL
"7/6/2022 Wednesday",2.93976,USD,GEL
"7/7/2022 Thursday",2.94001,USD,GEL
"7/8/2022 Friday",2.94022,USD,GEL
"7/11/2022 Monday",2.94035,USD,GEL
"7/12/2022 Tuesday",2.93998,USD,GEL
"7/13/2022 Wednesday",2.94023,USD,GEL
"7/14/2022 Thursday",2.93977,USD,GEL
"7/15/2022 Friday",2.94035,USD,GEL
"7/18/2022 Monday",2.93984,USD,GEL
"7/19/2022 Tuesday",2.94010,USD,GEL
"7/20/2022 Wednesday",2.94026,USD,GEL
"7/21/2022 Thursday",2.94030,USD,GEL
"7/22/2022 Friday",2.94035,USD,GEL
"7/25/2022 Monday",2.93987,USD,GEL
"7/26/2022 Tuesday",2.93969,USD,GEL
"7/27/2022 Wednesday",2.94030,USD,GEL
"7/28/2022 Thursday",2.76500,USD,GEL
"7/29/2022 Friday",2.85000,USD,GEL
"8/1/2022 Monday",2.73500,USD,GEL
"8/2/2022 Tuesday",2.72500,USD,GEL
"8/3/2022 Wednesday",2.73500,USD,GEL
"8/4/2022 Thursday",2.72500,USD,GEL
